Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,Import
Thornback & Spotted ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skate + cuckoo ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Cod(0-2, 0-40cm)",0,0.02489587,0.03160289,0.00319968,0,0,0,0,0.002,0.02809719,0,0,9.98E-05,0.0120048,0.00379962,0.00460046,0,0.000100006,0,0,0,0,0,0.0273,0,0.01149885,0.02860189,0,0,0,1.00E-04,0.00560056,0,0,0,0,0,0,0,0,0.05759424,0,0.01050004,0,0,0,0,0,0.01069893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod (adult),0,0,0.06360582,0,0,0,0,0,0,0,0,0,0,0.008003201,0,0,0,0,0,0,0,0,0,0,0,0.01149885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Whiting (0-1, 0-20cm)",0.002055382,0.02069656,0.004300393,0.00079992,0.00040004,0.002473237,0,0.00010001,0,0.00279972,0.00160016,0.001441025,0.002000197,0.00420168,0.00059994,0.00210021,0,0,0.00059999,0.000354827,0.00259974,0,0,0.0046,0.000299011,0.009799019,0.008000528,0,0,0,8.40E-06,0.00280028,0,0,0,0.00039996,0,0,0,0,0.01129887,0,0.0509543,0,0,0,0,0,0.00089991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiting (adult),0,0.06368943,0.06890629,0,0.01920192,0.1188206,0,0.00590059,0,0.00449955,0,0,0,0.09933973,0,0.00170017,0,0,0,0.02088472,0,0,0,0,0,0.1170883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Haddock (0-1, 0-20cm)",0,0.001399768,0.000300027,0.00049995,0,0.000254691,0,0,0,0.00059994,0.00010001,0.000268288,0.001100108,0.00090036,0.00039996,0.00070007,0,0.000500031,1.00E-04,0.000696868,0,0,0,0.0002,0,0.00279972,0.00030002,0,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0,0.01000004,0,0,0,0,0,0.00039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haddock (adult),0,0.003699386,0.01180108,0,0,0.006104158,0,0,0,0,0,0,0,0.02110844,0,0,0,0,0,0.002131094,0,0,0,0,0,0.0658934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Saithe (0-3, 0-40cm)",0,0.05559077,0.003300302,0,0,0,0,0,0,0,0,0,0,0,0,0.00020002,0,0,0,0,0,0,0,0,0,0.00369963,0.000100007,0,0,0,0,0.00110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01069893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saithe (adult),0,0.01259791,0.03130286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
